File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\algorithm\model\VRHPreSatModelAlgorithm.java,45,35,25,4,10,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\passive\vanrooijenhamann\AutomatonProblem.java,73,58,47,5,15,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\passive\vanrooijenhamann\VanRooijenHamann.java,75,54,37,5,16,0,5,13,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\supplier\ASupplier.java,6,3,2,0,3,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\supplier\SupplierRegistry.java,20,13,9,0,7,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\supplier\otfsupply\OTFSupply.java,6,3,2,0,3,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\validator\AValidator.java,38,23,16,1,15,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\validator\ValidatorRegistry.java,25,17,12,0,8,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\validator\exploration\ExplorationValidator.java,242,207,166,12,35,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\validator\sample\SampleValidator.java,36,26,17,4,10,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\Pair.java,34,25,19,3,9,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\RunConfiguration.java,228,190,139,35,38,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\alphabet\Alphabet.java,31,22,17,1,9,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\alphabet\InputSymbol.java,62,39,26,8,11,0,12,47,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\alphabet\InputSymbolFactory.java,40,21,17,3,6,0,13,62,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\automaton\AbstractAutomaton.java,16,10,7,1,6,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\automaton\AbstractTransitionFunction.java,8,3,2,0,5,0,0,0,0,0
